"Imbalance settlement period (CET/CEST)","+ Imbalance Price [EUR/MWh] - SCA|FR","+ Scarcity [EUR/MWh] - SCA|FR","+ Incentive [EUR/MWh] - SCA|FR","+ Financial Neutrality [EUR/MWh] - SCA|FR","- Imbalance Price [EUR/MWh] - SCA|FR","- Scarcity [EUR/MWh] - SCA|FR","- Incentive [EUR/MWh] - SCA|FR","- Financial Neutrality [EUR/MWh] - SCA|FR","Currency","Status","Total Imbalance [MWh] - SCA|FR","Difference","Situation","Status"
"04.01.2022 23:30 - 05.01.2022 00:00","99.75","","","","110.25","","","","EUR","Estimated","287","","Surplus","Final"
"05.01.2022 00:00 - 05.01.2022 00:30","138.61","","","","153.21","","","","EUR","Estimated","159","","Deficit","Final"
"05.01.2022 00:30 - 05.01.2022 01:00","94.29","","","","104.21","","","","EUR","Estimated","860","","Surplus","Final"
"05.01.2022 01:00 - 05.01.2022 01:30","99.85","","","","110.36","","","","EUR","Estimated","91","","Deficit","Final"
"05.01.2022 01:30 - 05.01.2022 02:00","99.85","","","","110.36","","","","EUR","Estimated","225","","Deficit","Final"
"05.01.2022 02:00 - 05.01.2022 02:30","164.33","","","","181.63","","","","EUR","Estimated","719","","Deficit","Final"
"05.01.2022 02:30 - 05.01.2022 03:00","199.64","","","","220.66","","","","EUR","Estimated","249","","Deficit","Final"
"05.01.2022 03:00 - 05.01.2022 03:30","135.73","","","","150.01","","","","EUR","Estimated","456","","Deficit","Final"
"05.01.2022 03:30 - 05.01.2022 04:00","71.61","","","","79.15","","","","EUR","Estimated","69","","Deficit","Final"
"05.01.2022 04:00 - 05.01.2022 04:30","75.15","","","","83.07","","","","EUR","Estimated","148","","Surplus","Final"
"05.01.2022 04:30 - 05.01.2022 05:00","75.15","","","","83.07","","","","EUR","Estimated","33","","Surplus","Final"
